Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM,GPU,Operating System,Operating System Version,Weight,HDD,SSD,Hybrid,FS,Price_ln
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4.0,Nvidia GeForce 920MX,No OS,10,2.2,1,0,0,0,15.305513370835605
HP,Envy 13-AD007nv,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4.0,Intel HD Graphics 620,Windows,10,1.32,0,256,0,0,15.642558017317898
Acer,Aspire 5,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4.0,Nvidia GeForce MX130,Windows,10,3.0,1,0,0,0,15.57754251071934
Lenovo,ThinkPad E480,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,AMD Radeon RX 550,Windows,10,1.75,0,256,0,0,16.110431339011715
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8.0,Nvidia GeForce GTX 1050M,No OS,10,2.4,0,256,0,0,15.860250400349479
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4.0,Intel HD Graphics 520,Windows,10,2.1,500,0,0,0,15.493164720392908
HP,255 G6,Notebook,15.6,1366x768,AMD A6-Series 9220 2.5GHz,4.0,AMD Radeon R4 Graphics,Windows,10,1.86,0,256,0,0,15.003703919124614
Asus,ZenBook UX430UA,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows,10,1.25,0,256,0,0,16.09506322948771
HP,EliteBook Folio,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core M 6Y75 1.2GHz,8.0,Intel HD Graphics 515,Windows,10,0.97,0,512,0,0,16.700785348362594
Asus,X541NA (N3350/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4.0,Intel HD Graphics 500,Windows,10,2.0,1,0,0,0,14.933548932457485
MSI,GE72MVR 7RG,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1070,Windows,10,2.9,1,256,0,0,16.7082056149099
Acer,Aspire A315-51,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 520,Windows,10,2.1,1,0,0,0,15.195465869697657
Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1050,Windows,10,2.56,0,512,0,0,16.223213930079243
Dell,Inspiron 7567,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8.0,Nvidia GeForce GTX 1050,Windows,10,2.62,0,0,1,0,15.894190309555707
Lenovo,V110-15IKB (i5-7200U/4GB/128GB/W10),Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4.0,Intel HD Graphics 620,Windows,10,1.9,0,128,0,0,15.30350735210874
MSI,GE73VR 7RE,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1060,Windows,10,2.8,1,256,0,0,16.637239383137775
HP,EliteBook 840,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 7500U 2.7GHz,4.0,Intel HD Graphics 620,Windows,10,1.48,0,256,0,0,16.079473734490513
HP,15-BS103nv (i5-8250U/6GB/256GB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,6.0,AMD Radeon 520,Windows,10,1.91,0,256,0,0,15.521012547768683
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,4.0,Intel HD Graphics 620,Windows,10,1.74,0,256,0,0,15.537038531784528
Asus,ZenBook Flip,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel HD Graphics 620,Windows,10,1.1,0,256,0,0,16.27449921969595
Dell,Inspiron 5579,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows,10,1.56,0,256,0,0,16.048499883480385
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i3 6006U 2.2GHz,4.0,Intel HD Graphics 520,Windows,10,2.1,500,0,0,0,15.195465869697657
Asus,X555BP-XX180T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4.0,AMD Radeon R5 M420,Windows,10,2.03,1,0,0,0,15.09184383703077
Acer,Aspire A517-51G,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4.0,Nvidia GeForce MX150,Windows,10,3.0,0,256,0,0,15.78374955250265
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,AMD Radeon 520,Windows,10,2.13,0,256,0,0,15.683208323280773
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5,0,256,0,0,16.07669724034222
Acer,Aspire A315-31,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4.0,Intel HD Graphics 500,Windows,10,2.1,1,0,0,0,14.945109754858562
MSI,GE63VR 7RE,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1060,Windows,10,2.4,1,256,0,0,16.587893509034622
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4.0,Intel HD Graphics 505,Windows,10,2.1,1,0,0,0,14.988714081995628
Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8.0,Nvidia GeForce GTX 1050,Windows,10,2.56,1,128,0,0,16.059393619529985
Acer,Aspire A517-51G,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Nvidia GeForce MX150,Windows,10,3.0,0,256,0,0,15.842838468872657
HP,ProBook 430,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4.0,Intel UHD Graphics 620,Windows,10,1.49,500,0,0,0,15.718299643092044
Huawei,MateBook X,Ultrabook,13.0,IPS Panel Full HD 2160x1440,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,Windows,10,1.05,0,256,0,0,16.300026131291844
HP,17-bs001nv (i5-7200U/6GB/2TB/Radeon,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6.0,AMD Radeon 520,Windows,10,2.71,2,0,0,0,15.642558017317898
Lenovo,IdeaPad 320-15AST,Notebook,15.6,1366x768,AMD A6-Series 9220 2.9GHz,4.0,AMD Radeon R4 Graphics,No OS,10,2.2,500,0,0,0,14.826248551981832
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4.0,Intel HD Graphics 620,Windows,10,2.0,500,0,0,0,15.28526976455896
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Nvidia GeForce 930MX,Windows,10,2.5,0,256,0,0,15.92053650958694
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,8.0,Intel HD Graphics 620,Windows,10,2.3,1,0,0,0,15.221957485144632
Acer,Aspire A315-51,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 520,Windows,10,2.1,0,128,0,0,15.199930162826341
MSI,GT80S 6QF-074US,Gaming,18.4,Full HD 1920x1080,Intel Core i7 6920HQ 2.9GHz,32.0,Nvidia GTX 980 SLI,Windows,10,4.4,1,512,0,0,17.029924764599542
Lenovo,V310-15IKB (i5-7200U/8GB/1TB,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8.0,AMD R17M-M1-70,Windows,10,1.9,1,128,0,0,15.793638384631898
HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,1.29,0,256,0,0,16.405460773186686
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16.0,AMD Radeon 530,Linux,10,2.02,2,256,0,0,16.048499883480385
Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,1.23,0,256,0,0,16.33642024974957
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16.0,Intel UHD Graphics 620,Windows,10,1.4,0,512,0,0,16.61530750647121
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,Windows,10,2.0,0,128,0,0,15.768730496718936
Xiaomi,Mi Notebook,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Nvidia GeForce MX150,No OS,10,1.95,0,256,0,0,16.1821504301116
Dell,Inspiron 7773,Notebook,17.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,16.0,Nvidia GeForce 150MX,Windows,10,2.77,0,512,0,0,16.438272115500954
Dell,XPS 15,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1050,Windows,10,2.06,0,512,0,0,16.874880509518473
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8.0,Nvidia GeForce GTX 1050,No OS,10,2.4,0,256,0,0,15.750918320954835
Acer,Swift 7,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7Y54 1.2GHz,8.0,Intel HD Graphics 615,Windows,10,1.12,0,256,0,0,15.989601606706799
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,AMD Radeon 530,Windows,10,2.8,1,128,0,0,16.082242541058648
Lenovo,Thinkpad Yoga,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel Core i7 7500U 2.7GHz,16.0,Intel HD Graphics 620,Windows,10,1.42,0,1,0,0,17.03881687369722
Vero,K147 (N3350/4GB/32GB/FHD/W10),Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Celeron Dual Core N3350 1.1GHz,4.0,Intel HD Graphics 500,Windows,10,1.3,0,0,0,32,14.653588906099614
Xiaomi,Mi Notebook,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8.0,Nvidia GeForce MX150,No OS,10,1.3,0,256,0,0,16.00056254906589
Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,1600x900,Intel Core i5 8250U 1.6GHz,8.0,Nvidia GeForce MX150,No OS,10,2.8,0,256,0,0,15.64112637784646
Dell,Inspiron 5379,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows,10,1.62,1,0,0,0,15.825117981551294
HP,ProBook 470,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Nvidia GeForce 930MX,Windows,10,2.5,1,0,0,0,15.910737846538238
Razer,Blade Pro,Gaming,17.3,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7820HK 2.9GHz,32.0,Nvidia GeForce GTX 1080,Windows,10,3.49,0,1,0,0,17.808787377380543
HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,1.49,0,512,0,0,15.958798349967525
HP,Omen 17-W295,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1050,Windows,10,3.35,1,256,0,0,16.32202115287739
HP,Probook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Nvidia GeForce 930MX ,Windows,10,2.5,0,256,0,0,16.044679439482998
Dell,Inspiron 7577,Gaming,15.6,IPS Panel 4K Ultra HD 3840x2160,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1060,Windows,10,2.65,1,512,0,0,16.613141831558714
Lenovo,V110-15ISK (i5-6200U/4GB/128GB/W10),Notebook,15.6,1366x768,Intel Core i5 6200U 2.3GHz,4.0,Intel HD Graphics 520,Windows,10,2.1,0,128,0,0,15.293416449126777
Acer,Aspire E5-576G,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,Nvidia GeForce 940MX,Windows,10,2.23,1,0,0,0,15.702256518251467
Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1060,Windows,10,3.2,1,512,0,0,16.559706750102688
Dell,Precision 7520,Workstation,15.6,4K Ultra HD 3840x2160,Intel Xeon E3-1505M V6 3GHz,16.0,Nvidia Quadro M1200,Windows,10,2.8,1,256,0,0,17.117442146689783
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1060,No OS,10,2.4,0,512,0,0,16.335705197877843
Dell,Inspiron 3567,Notebook,15.6,Touchscreen 1366x768,Intel Core i3 7100U 2.4GHz,6.0,Intel HD Graphics 620,Windows,10,2.3,1,0,0,0,15.177406688159259
Dell,XPS 13,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows,10,1.21,0,256,0,0,16.667978974591648
Dell,XPS 13,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows,10,1.2,0,256,0,0,16.37153621740477
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,Windows,10,2.2,0,256,0,0,15.484824388476689
Acer,Aspire 7,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8.0,Nvidia GeForce GTX 1050,Linux,10,2.4,1,0,0,0,15.750918320954835
Asus,ROG GL703VD-GC028T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1050,Windows,10,2.9,1,256,0,0,16.342122332198475
HP,15-bs018nq (i3-6006U/4GB/500GB/FHD/No,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 520,No OS,10,2.1,500,0,0,0,14.947979197286514
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,No OS,10,2.2,0,256,0,0,15.401005716593618
Huawei,MateBook X,Ultrabook,13.0,IPS Panel Full HD 2160x1440,Intel Core i7 7500U 2.7GHz,8.0,Intel HD Graphics 620,Windows,10,1.05,0,512,0,0,16.405460773186686
Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,AMD Radeon 530,Windows,10,1.4,0,256,0,0,15.930111326115188
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,8.0,Nvidia GeForce GTX 940MX,No OS,10,2.8,1,0,0,0,15.471333458735675
HP,Probook 440,Notebook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Nvidia GeForce 930MX,Windows,10,1.63,0,256,0,0,16.03119175910105
Dell,Latitude 5490,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,1.6,0,256,0,0,16.139554552932843
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,16.0,Intel UHD Graphics 620,Windows,10,1.62,0,512,0,0,16.24674107666293
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,AMD Radeon 520,Linux,10,2.2,0,256,0,0,15.611095401110832
Lenovo,Yoga 520-14IKB,2 in 1 Convertible,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,1.74,0,256,0,0,15.894190309555707
Toshiba,Portege Z30-C-16L,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8.0,Intel HD Graphics 520,Windows,10,1.2,0,256,0,0,16.31035070678062
HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,2.1,1,0,0,0,15.769990736331224
Dell,Alienware 17,Gaming,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1060,Windows,10,4.42,1,256,0,0,16.89933499125176
Acer,Aspire E5-576G,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,Nvidia GeForce 940MX,Windows,10,2.2,0,256,0,0,15.816739715905296
Dell,Inspiron 5567,Notebook,15.6,Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,16.0,AMD Radeon R7 M445,Windows,10,2.3,1,0,0,0,15.848687838444121
Asus,Vivobook X541UV-DM1217T,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8.0,Nvidia GeForce 920MX ,Windows,10,2.0,0,256,0,0,15.73799824458973
Asus,K756UX-T4340T (i5-7200U/8GB/500GB,Notebook,17.3,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8.0,Nvidia GeForce GTX 950M,Windows,10,2.69,500,256,0,0,15.885251702554896
HP,ZBook 15u,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,AMD FirePro W4190M ,Windows,10,1.9,1,0,0,0,16.238891742798476
Asus,Pro P2540UA-XO0198T,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4.0,Intel HD Graphics 620,Windows,10,2.37,1,0,0,0,15.081843629003236
HP,15-rb013nv (E2-9000e/4GB/500GB/W10),Notebook,15.6,1366x768,AMD E-Series 9000e 1.5GHz,4.0,AMD Radeon R2,Windows,10,2.1,500,0,0,0,14.891999929544614
Lenovo,Legion Y720-15IKB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1060,Windows,10,3.2,1,256,0,0,16.405460773186686
Dell,Vostro 5468,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,Windows,10,1.6,0,256,0,0,15.848676197068343
Acer,Aspire R7,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 6200U 2.3GHz,8.0,Intel HD Graphics 520,Windows,10,1.6,0,256,0,0,15.628148546097746
Dell,Inspiron 5567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16.0,AMD Radeon R7 M445,Linux,10,2.36,0,256,0,0,15.894190309555707
Acer,Aspire A315-51,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 520,Linux,10,2.1,1,0,0,0,15.05905401420778
Asus,X555QG-DM242T (A10-9620P/4GB/1TB,Notebook,15.6,Full HD 1920x1080,AMD A10-Series A10-9620P 2.5GHz,4.0,AMD Radeon R5 M430,Windows,10,2.2,1,128,0,0,15.447277315881438
Asus,ROG G703VI-E5062T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,32.0,Nvidia GeForce GTX 1080,Windows,10,4.7,1,512,0,0,17.35907171169658
Acer,Nitro AN515-51,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8.0,Nvidia GeForce GTX 1050,Windows,10,2.5,0,256,0,0,15.83342663469031
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,8.0,Intel HD Graphics 520,Windows,10,2.2,0,128,0,0,15.471333458735675
Asus,VivoBook Pro,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Nvidia GeForce 150MX,Windows,10,2.1,1,128,0,0,16.136067191072428
Asus,F756UX-T4201D (i7-7500U/8GB/128GB,Notebook,17.3,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,Nvidia GeForce GTX 950M,No OS,10,2.69,1,128,0,0,15.883004510597992
Dell,Inspiron 5577,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8.0,Nvidia GeForce GTX 1050,Windows,10,2.56,0,256,0,0,15.871692172769265
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,8.0,Intel HD Graphics 620,Windows,10,1.38,0,256,0,0,16.07669724034222
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,AMD Radeon 530,Windows,10,2.2,2,128,0,0,15.985548916256176
HP,15-bs015dx (i5-7200U/8GB/1TB/W10),Notebook,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8.0,Intel HD Graphics 620,Windows,10,2.04,1,0,0,0,15.419056748239186
Asus,Rog G701VIK-BA060T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7820HK 2.9GHz,16.0,Nvidia GeForce GTX 1080,Windows,10,3.6,0,256,0,0,17.098941453833095
HP,ProBook 430,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4.0,Intel UHD Graphics 620,Windows,10,1.49,500,0,0,0,15.607619965956617
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8.0,Intel Iris Plus Graphics 650,macOS,10,1.37,0,512,0,0,16.713612361922348
Dell,Inspiron 5579,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows,10,2.08,1,0,0,0,15.800991358937157
Asus,ROG G752VSK-GC493T,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 980M,Windows,10,4.3,1,256,0,0,16.587893509034622
Asus,X505BP-BR019T (A9-9420/4GB/1TB/Radeon,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4.0,AMD Radeon R5 M420,Windows,10,1.68,1,0,0,0,15.243510043530367
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows,10,1.37,0,512,0,0,16.61530750647121
Acer,Aspire 5,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4.0,Nvidia GeForce MX130,Windows,10,3.0,0,256,0,0,15.646840679109898
Dell,Vostro 5370,Ultrabook,13.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,1.41,0,256,0,0,15.948316073694015
HP,15-BW094nd (A6-9220/8GB/128GB/W10),Notebook,15.6,1366x768,AMD A6-Series A6-9220 2.5GHz,8.0,AMD Radeon R4 Graphics,Windows,10,1.91,0,128,0,0,15.193001986717519
HP,Envy 17-U275cl,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16.0,Nvidia GeForce MX150,Windows,10,2.9,1,0,0,0,16.057987620685495
MSI,GT73EVR 7RE,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16.0,Nvidia GeForce GTX 1070,Windows,10,4.14,1,512,0,0,16.91655320591904
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7700HQ 2.8GHz,8.0,Nvidia GeForce GTX 1050M,Windows,10,2.0,0,512,0,0,16.53070239675602
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,AMD Radeon 530,Windows,10,2.8,1,128,0,0,16.133443665300042
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4.0,Intel HD Graphics 520,No OS,10,2.2,0,256,0,0,15.188731837516311
HP,ProBook 450,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4.0,Intel HD Graphics 620,Windows,10,2.1,500,0,0,0,15.674932413976913
Dell,Vostro 3568,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4.0,Intel HD Graphics 620,Windows,10,2.18,1,0,0,0,15.580591293568698
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8.0,AMD Radeon R5 M430,Windows,10,2.24,1,0,0,0,15.429733006230528
Dell,Inspiron 5579,2 in 1 Convertible,15.6,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8.0,Intel UHD Graphics 620,Windows,10,2.67,0,256,0,0,15.776268220850362
Asus,ZenBook Flip,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows,10,1.1,0,1024,0,0,16.405460773186686
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4.0,Intel HD Graphics 620,No OS,10,2.2,1,0,0,0,15.239236532752985
HP,Probook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Nvidia GeForce 930MX ,Windows,10,2.5,1,0,0,0,16.018502472194555
Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,Intel UHD Graphics 620,Windows,10,2.05,0,256,0,0,15.87282918255634
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.9GHz,8.0,Intel Iris Graphics 550,macOS,10,1.37,0,512,0,0,16.673045645273444
Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,16.0,AMD Radeon RX 580,Windows,10,3.2,1,256,0,0,16.438272115500954
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8.0,AMD Radeon 520,Linux,10,2.14,0,256,0,0,15.692873007857303
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Touchscreen 2560x1440,Intel Core i7 6600U 2.6GHz,16.0,Intel HD Graphics 520,Windows,10,1.36,0,512,0,0,16.91655320591904
